timestamp,files,chunks,candidates,clones
2023-12-30T21:23:47.189935+00:00,163589,3119100,0,0
2023-12-30T21:23:58.101331+00:00,163589,3233000,0,0
2023-12-30T21:24:09.080540+00:00,163589,3344900,0,0
2023-12-30T21:24:20.167151+00:00,163589,3461900,0,0
2023-12-30T21:24:31.352854+00:00,163589,3545800,0,0
2023-12-30T21:24:42.576450+00:00,163589,3673200,0,0
2023-12-30T21:24:53.640613+00:00,163589,3797000,0,0
2023-12-30T21:25:04.675771+00:00,163589,3912800,0,0
2023-12-30T21:25:15.761248+00:00,163589,4044900,0,0
2023-12-30T21:25:26.910785+00:00,163589,4090800,0,0
2023-12-30T21:25:38.042398+00:00,163589,4212900,0,0
2023-12-30T21:25:49.204011+00:00,163589,4352800,0,0
2023-12-30T21:26:00.383708+00:00,163589,4502800,0,0
2023-12-30T21:26:11.663828+00:00,163589,4601300,0,0
2023-12-30T21:26:23.044996+00:00,163589,4634200,0,0
2023-12-30T21:26:34.498789+00:00,163589,4758600,0,0
2023-12-30T21:26:46.034138+00:00,163589,4852400,0,0
2023-12-30T21:26:57.726545+00:00,163589,4959800,0,0
2023-12-30T21:27:09.870021+00:00,163589,5022100,0,0
2023-12-30T21:27:21.890155+00:00,163589,5079600,0,0
2023-12-30T21:27:33.674995+00:00,163589,5147800,0,0
2023-12-30T21:27:45.414187+00:00,163589,5235900,0,0
2023-12-30T21:27:57.510051+00:00,163589,5284600,0,0
2023-12-30T21:28:09.549277+00:00,163589,5370100,0,0
2023-12-30T21:28:21.866050+00:00,163589,5495200,0,0
2023-12-30T21:28:34.645344+00:00,163589,5615300,0,0
2023-12-30T21:28:46.914863+00:00,163589,5730700,0,0
2023-12-30T21:28:59.275627+00:00,163589,5861800,0,0
2023-12-30T21:29:11.515608+00:00,163589,5993300,0,0
2023-12-30T21:29:23.879397+00:00,163589,6159800,0,0
2023-12-30T21:29:36.308608+00:00,163589,6317100,0,0
2023-12-30T21:29:48.805167+00:00,163589,6424900,0,0
2023-12-30T21:30:01.502914+00:00,163589,6583200,0,0
2023-12-30T21:30:13.904309+00:00,163589,6705900,0,0
2023-12-30T21:30:26.376035+00:00,163589,6802700,0,0
2023-12-30T21:30:38.965684+00:00,163589,6886600,0,0
2023-12-30T21:30:51.379588+00:00,163589,7007800,0,0
2023-12-30T21:31:04.022836+00:00,163589,7019300,0,0
2023-12-30T21:31:16.625354+00:00,163589,7102100,0,0
2023-12-30T21:31:29.313180+00:00,163589,7231600,0,0
2023-12-30T21:31:42.241572+00:00,163589,7309300,0,0
2023-12-30T21:31:54.838482+00:00,163589,7408200,0,0
2023-12-30T21:32:07.874043+00:00,163589,7457500,0,0
2023-12-30T21:32:20.822465+00:00,163589,7584400,0,0
2023-12-30T21:32:33.878761+00:00,163589,7686900,0,0
2023-12-30T21:32:46.642717+00:00,163589,7739400,0,0
2023-12-30T21:33:00.211355+00:00,163589,7739400,0,0
2023-12-30T21:33:13.867382+00:00,163589,7742100,0,0
2023-12-30T21:33:27.114777+00:00,163589,7780900,0,0
2023-12-30T21:33:40.864760+00:00,163589,7846500,0,0
2023-12-30T21:33:54.433404+00:00,163589,7981700,0,0
2023-12-30T21:34:07.724198+00:00,163589,8124500,0,0
2023-12-30T21:34:21.320967+00:00,163589,8262600,0,0
2023-12-30T21:34:34.769381+00:00,163589,8361000,0,0
2023-12-30T21:34:48.811445+00:00,163589,8449900,0,0
2023-12-30T21:35:02.575679+00:00,163589,8526100,0,0
2023-12-30T21:35:16.561534+00:00,163589,8645700,0,0
2023-12-30T21:35:30.982624+00:00,163589,8735700,0,0
2023-12-30T21:35:45.004379+00:00,163589,8883400,0,0
2023-12-30T21:35:58.928616+00:00,163589,8943900,0,0
2023-12-30T21:36:12.983128+00:00,163589,8958900,0,0
2023-12-30T21:36:26.600578+00:00,163589,8975600,0,0
2023-12-30T21:36:40.515101+00:00,163589,8985500,0,0
2023-12-30T21:36:54.944911+00:00,163589,9102700,0,0
2023-12-30T21:37:08.921535+00:00,163589,9190900,0,0
2023-12-30T21:37:22.851336+00:00,163589,9275700,0,0
2023-12-30T21:37:36.970110+00:00,163589,9299900,0,0
2023-12-30T21:37:51.335115+00:00,163589,9311200,0,0
2023-12-30T21:38:05.166289+00:00,163589,9352200,0,0
2023-12-30T21:38:19.163047+00:00,163589,9395700,0,0
2023-12-30T21:38:33.606003+00:00,163589,9470500,0,0
2023-12-30T21:38:47.603655+00:00,163589,9552000,0,0
2023-12-30T21:39:02.859456+00:00,163589,9616700,0,0
2023-12-30T21:39:17.158677+00:00,163589,9659500,0,0
2023-12-30T21:39:31.383479+00:00,163589,9751400,0,0
2023-12-30T21:39:45.719384+00:00,163589,9810400,0,0
2023-12-30T21:40:00.207955+00:00,163589,9871400,0,0
2023-12-30T21:40:14.668828+00:00,163589,10011400,0,0
2023-12-30T21:40:29.999434+00:00,163589,10180300,0,0
2023-12-30T21:40:44.883208+00:00,163589,10312900,0,0
2023-12-30T21:41:00.352433+00:00,163589,10450300,0,0
2023-12-30T21:41:15.214639+00:00,163589,10606800,0,0
2023-12-30T21:41:29.720871+00:00,163589,10717600,0,0
2023-12-30T21:41:44.774416+00:00,163589,10770600,0,0
2023-12-30T21:41:59.999199+00:00,163589,10831100,0,0
2023-12-30T21:42:15.463689+00:00,163589,10922900,0,0
2023-12-30T21:42:30.859895+00:00,163589,11108700,0,0
2023-12-30T21:42:46.565408+00:00,163589,11294200,0,0
2023-12-30T21:43:02.010472+00:00,163589,11459600,0,0
2023-12-30T21:43:18.131662+00:00,163589,11627700,0,0
2023-12-30T21:43:34.141206+00:00,163589,11758000,0,0
2023-12-30T21:43:49.865898+00:00,163589,11838600,0,0
2023-12-30T21:44:05.554901+00:00,163589,12011000,0,0
2023-12-30T21:44:21.308963+00:00,163589,12139200,0,0
2023-12-30T21:44:37.910764+00:00,163589,12264900,0,0
2023-12-30T21:44:54.241051+00:00,163589,12375000,0,0
2023-12-30T21:45:10.459644+00:00,163589,12483700,0,0
2023-12-30T21:45:26.785685+00:00,163589,12649700,0,0
2023-12-30T21:45:43.437803+00:00,163589,12726700,0,0
2023-12-30T21:45:59.314212+00:00,163589,12825600,0,0
2023-12-30T21:46:15.149625+00:00,163589,12884700,0,0
2023-12-30T21:46:31.979833+00:00,163589,12977000,0,0
2023-12-30T21:46:48.505070+00:00,163589,13177100,0,0
2023-12-30T21:47:05.574629+00:00,163589,13320100,0,0
2023-12-30T21:47:22.024378+00:00,163589,13470900,0,0
2023-12-30T21:47:38.609817+00:00,163589,13473700,0,0
2023-12-30T21:47:55.603565+00:00,163589,13600600,0,0
2023-12-30T21:48:12.290945+00:00,163589,13742700,0,0
2023-12-30T21:48:28.923918+00:00,163589,13838000,0,0
2023-12-30T21:48:46.071831+00:00,163589,13935500,0,0
2023-12-30T21:49:03.484147+00:00,163589,14038300,0,0
2023-12-30T21:49:20.588052+00:00,163589,14081900,0,0
2023-12-30T21:49:37.659945+00:00,163589,14130200,0,0
2023-12-30T21:49:54.933616+00:00,163589,14210900,0,0
2023-12-30T21:50:12.003153+00:00,163589,14282800,0,0
2023-12-30T21:50:30.427251+00:00,163589,14395600,0,0
2023-12-30T21:50:47.649829+00:00,163589,14570700,0,0
2023-12-30T21:51:05.594096+00:00,163589,14752600,0,0
2023-12-30T21:51:22.954311+00:00,163589,14918500,0,0
2023-12-30T21:51:40.543828+00:00,163589,15014600,0,0
2023-12-30T21:51:57.530711+00:00,163589,15014600,0,0
2023-12-30T21:52:14.982083+00:00,163589,15035700,0,0
2023-12-30T21:52:32.791897+00:00,163589,15182900,0,0
2023-12-30T21:52:52.507104+00:00,163589,15314000,0,0
2023-12-30T21:53:10.815903+00:00,163589,15399800,0,0
2023-12-30T21:53:29.350460+00:00,163589,15537700,0,0
2023-12-30T21:53:50.476298+00:00,163589,15693200,0,0
2023-12-30T21:54:10.069159+00:00,163589,15832300,0,0
2023-12-30T21:54:29.908390+00:00,163589,15998100,0,0
2023-12-30T21:54:48.897511+00:00,163589,16029400,0,0
2023-12-30T21:55:09.302218+00:00,163589,16029400,0,0
2023-12-30T21:55:29.722023+00:00,163589,16029400,0,0
2023-12-30T21:55:50.330055+00:00,163589,16057400,0,0
2023-12-30T21:56:12.077378+00:00,163589,16214300,0,0
2023-12-30T21:56:36.628518+00:00,163589,16348200,0,0
2023-12-30T21:57:00.212778+00:00,163589,16386800,0,0
2023-12-30T21:57:22.982901+00:00,163589,16446800,0,0
2023-12-30T21:57:52.348005+00:00,163589,16669300,0,0
2023-12-30T21:58:20.517459+00:00,163589,16801900,0,0
2023-12-30T21:58:50.377758+00:00,163589,17016900,0,0
2023-12-30T21:59:23.898368+00:00,163589,17207800,0,0
2023-12-30T21:59:59.201791+00:00,163589,17454600,0,0
2023-12-30T22:00:39.012668+00:00,163589,17729100,0,0
2023-12-30T22:01:12.368813+00:00,163589,17729100,0,0
2023-12-30T22:01:40.250785+00:00,163589,17734600,0,0
2023-12-30T22:02:05.320502+00:00,163589,17805000,0,0
2023-12-30T22:02:34.340068+00:00,163589,18054600,0,0
2023-12-30T22:03:05.458015+00:00,163589,18211863,0,0
2023-12-30T22:03:48.579374+00:00,163589,18211863,0,0
2023-12-30T22:04:38.876011+00:00,163589,18211863,0,0
2023-12-30T22:04:59.050535+00:00,163589,18211863,0,0
2023-12-30T22:05:22.921219+00:00,163589,18211863,0,0
2023-12-30T22:05:46.731631+00:00,163589,18211863,0,0
2023-12-30T22:06:08.599782+00:00,163589,18211863,0,0
2023-12-30T22:06:28.912573+00:00,163589,18211863,0,0
2023-12-30T22:06:50.654963+00:00,163589,18211863,0,0
2023-12-30T22:07:12.517404+00:00,163589,18211863,0,0
2023-12-30T22:07:33.904870+00:00,163589,18211863,0,0
2023-12-30T22:07:54.365576+00:00,163589,18211863,0,0
2023-12-30T22:08:15.454439+00:00,163589,18211863,0,0
2023-12-30T22:08:34.825306+00:00,163589,18211863,0,0
2023-12-30T22:08:55.864134+00:00,163589,18211863,0,0
2023-12-30T22:09:15.998070+00:00,163589,18211863,0,0
2023-12-30T22:09:37.986374+00:00,163589,18211863,0,0
2023-12-30T22:09:58.711485+00:00,163589,18211863,0,0
2023-12-30T22:10:19.451838+00:00,163589,18211863,0,0
2023-12-30T22:10:41.508520+00:00,163589,18211863,0,0
2023-12-30T22:11:03.332440+00:00,163589,18211863,0,0
2023-12-30T22:11:24.971293+00:00,163589,18211863,0,0
2023-12-30T22:11:45.858200+00:00,163589,18211863,0,0
2023-12-30T22:12:06.898385+00:00,163589,18211863,0,0
2023-12-30T22:12:26.279176+00:00,163589,18211863,0,0
2023-12-30T22:12:48.324930+00:00,163589,18211863,0,0
2023-12-30T22:13:11.636438+00:00,163589,18211863,0,0
2023-12-30T22:13:33.165515+00:00,163589,18211863,0,0
2023-12-30T22:13:53.549901+00:00,163589,18211863,0,0
2023-12-30T22:14:15.663085+00:00,163589,18211863,0,0
2023-12-30T22:14:37.028659+00:00,163589,18211863,0,0
2023-12-30T22:14:59.508487+00:00,163589,18211863,0,0
2023-12-30T22:15:22.438062+00:00,163589,18211863,0,0
2023-12-30T22:15:44.273887+00:00,163589,18211863,0,0
2023-12-30T22:16:05.815230+00:00,163589,18211863,0,0
2023-12-30T22:16:26.119678+00:00,163589,18211863,0,0
2023-12-30T22:16:47.195076+00:00,163589,18211863,0,0
2023-12-30T22:17:09.399663+00:00,163589,18211863,0,0
2023-12-30T22:17:30.953971+00:00,163589,18211863,0,0
2023-12-30T22:17:53.882765+00:00,163589,18211863,0,0
2023-12-30T22:18:17.798089+00:00,163589,18211863,0,0
2023-12-30T22:18:40.118332+00:00,163589,18211863,0,0
2023-12-30T22:19:00.953110+00:00,163589,18211863,0,0
2023-12-30T22:19:24.358297+00:00,163589,18211863,0,0
2023-12-30T22:19:47.462392+00:00,163589,18211863,0,0
2023-12-30T22:20:08.285531+00:00,163589,18211863,0,0
2023-12-30T22:20:30.473454+00:00,163589,18211863,0,0
2023-12-30T22:20:52.950927+00:00,163589,18211863,0,0
2023-12-30T22:21:16.622811+00:00,163589,18211863,0,0
2023-12-30T22:21:37.811554+00:00,163589,18211863,0,0
2023-12-30T22:21:59.613131+00:00,163589,18211863,0,0
2023-12-30T22:22:21.141075+00:00,163589,18211863,0,0
2023-12-30T22:22:41.164629+00:00,163589,18211863,0,0
2023-12-30T22:23:01.580982+00:00,163589,18211863,0,0
2023-12-30T22:23:21.037048+00:00,163589,18211863,0,0
2023-12-30T22:23:39.934037+00:00,163589,18211863,0,0
2023-12-30T22:24:01.384605+00:00,163589,18211863,0,0
